,Date,Value
2020-11-28,11/28/20,17138.87
2020-11-29,11/29/20,17732.42
2020-11-30,11/30/20,18191.6
2020-12-01,12/1/20,19709.73
2020-12-02,12/2/20,18792.52
2020-12-03,12/3/20,19226.97
2020-12-04,12/4/20,19454.54
2020-12-05,12/5/20,18670.49
2020-12-06,12/6/20,19155.06
2020-12-07,12/7/20,19377.66
2020-12-08,12/8/20,19181.41
2020-12-09,12/9/20,18318.87
2020-12-10,12/10/20,18554.15
2020-12-11,12/11/20,18247.76
2020-12-12,12/12/20,18029.36
2020-12-13,12/13/20,18803.44
2020-12-14,12/14/20,19164.48
2020-12-15,12/15/20,19276.59
2020-12-16,12/16/20,19439.75
2020-12-17,12/17/20,21379.48
2020-12-18,12/18/20,22847.46
2020-12-19,12/19/20,23150.79
2020-12-20,12/20/20,23869.92
2020-12-21,12/21/20,23490.58
2020-12-22,12/22/20,22745.48
2020-12-23,12/23/20,23824.99
2020-12-24,12/24/20,23253.37
2020-12-25,12/25/20,23715.53
2020-12-26,12/26/20,24693.58
2020-12-27,12/27/20,26443.21
2020-12-28,12/28/20,26246.58
2020-12-29,12/29/20,27036.69
2020-12-30,12/30/20,27376.37
2020-12-31,12/31/20,28856.59
2021-01-01,1/1/21,28982.56
2021-01-02,1/2/21,29393.75
2021-01-03,1/3/21,32195.46
2021-01-04,1/4/21,33000.78
2021-01-05,1/5/21,32035.03
2021-01-06,1/6/21,34046.67
2021-01-07,1/7/21,36860.41
2021-01-08,1/8/21,39486.04
2021-01-09,1/9/21,40670.25
2021-01-10,1/10/21,40240.72
2021-01-11,1/11/21,38240.09
2021-01-12,1/12/21,35544.94
2021-01-13,1/13/21,34011.82
2021-01-14,1/14/21,37393.13
2021-01-15,1/15/21,39158.47
2021-01-16,1/16/21,36828.52
2021-01-17,1/17/21,36065.2
2021-01-18,1/18/21,35793.01
2021-01-19,1/19/21,36632.35
2021-01-20,1/20/21,36020.13
2021-01-21,1/21/21,35538.98
2021-01-22,1/22/21,30797.88
2021-01-23,1/23/21,33002.38
2021-01-24,1/24/21,32099.74
2021-01-25,1/25/21,32276.84
2021-01-26,1/26/21,32243.26
2021-01-27,1/27/21,32541.8
2021-01-28,1/28/21,30419.17
2021-01-29,1/29/21,33403.17
2021-01-30,1/30/21,34314.26
2021-01-31,1/31/21,34318.1
2021-02-01,2/1/21,33136.46
2021-02-02,2/2/21,33522.9
2021-02-03,2/3/21,35529.66
2021-02-04,2/4/21,37676.25
2021-02-05,2/5/21,37002.09
2021-02-06,2/6/21,38278.61
2021-02-07,2/7/21,39323.26
2021-02-08,2/8/21,38928.1
2021-02-09,2/9/21,46364.3
2021-02-10,2/10/21,46589.58
2021-02-11,2/11/21,44878.17
2021-02-12,2/12/21,48013.38
2021-02-13,2/13/21,47471.4
2021-02-14,2/14/21,47185.19
2021-02-15,2/15/21,48720.37
2021-02-16,2/16/21,47951.85
2021-02-17,2/17/21,49160.1
2021-02-18,2/18/21,52118.23
2021-02-19,2/19/21,51608.15
2021-02-20,2/20/21,55916.5
2021-02-21,2/21/21,56001.2
2021-02-22,2/22/21,57487.86
2021-02-23,2/23/21,54123.4
2021-02-24,2/24/21,48880.43
2021-02-25,2/25/21,50624.84
2021-02-26,2/26/21,46800.42
2021-02-27,2/27/21,46340.31
2021-02-28,2/28/21,46155.87
2021-03-01,3/1/21,45113.92
2021-03-02,3/2/21,49618.43
2021-03-03,3/3/21,48356.04
2021-03-04,3/4/21,50477.7
2021-03-05,3/5/21,48448.91
2021-03-06,3/6/21,48861.38
2021-03-07,3/7/21,48881.59
2021-03-08,3/8/21,51169.7
2021-03-09,3/9/21,52299.33
2021-03-10,3/10/21,54881.52
2021-03-11,3/11/21,55997.23
2021-03-12,3/12/21,57764.0
2021-03-13,3/13/21,57253.28
2021-03-14,3/14/21,61258.73
2021-03-15,3/15/21,59133.47
2021-03-16,3/16/21,55754.72
2021-03-17,3/17/21,56872.38
2021-03-18,3/18/21,58913.0
2021-03-19,3/19/21,57665.9
2021-03-20,3/20/21,58075.1
2021-03-21,3/21/21,58085.8
2021-03-22,3/22/21,57411.17
2021-03-23,3/23/21,54204.96
2021-03-24,3/24/21,54477.46
2021-03-25,3/25/21,52508.23
2021-03-26,3/26/21,51415.92
2021-03-27,3/27/21,55074.47
2021-03-28,3/28/21,55863.93
2021-03-29,3/29/21,55783.71
2021-03-30,3/30/21,57627.67
2021-03-31,3/31/21,58730.13
2021-04-01,4/1/21,58735.25
2021-04-02,4/2/21,58736.92
2021-04-03,4/3/21,59031.32
2021-04-04,4/4/21,57076.49
2021-04-05,4/5/21,58206.55
2021-04-06,4/6/21,59054.1
2021-04-07,4/7/21,58020.46
2021-04-08,4/8/21,55947.27
2021-04-09,4/9/21,58048.59
2021-04-10,4/10/21,58102.58
2021-04-11,4/11/21,59774.0
2021-04-12,4/12/21,59964.87
2021-04-13,4/13/21,59834.74
2021-04-14,4/14/21,63554.44
2021-04-15,4/15/21,62969.12
2021-04-16,4/16/21,63252.63
2021-04-17,4/17/21,61455.98
2021-04-18,4/18/21,60087.09
2021-04-19,4/19/21,56251.48
2021-04-20,4/20/21,55703.14
2021-04-21,4/21/21,56507.91
2021-04-22,4/22/21,53808.8
2021-04-23,4/23/21,51731.71
2021-04-24,4/24/21,51153.13
2021-04-25,4/25/21,50110.53
2021-04-26,4/26/21,49075.58
2021-04-27,4/27/21,54056.64
2021-04-28,4/28/21,55071.46
2021-04-29,4/29/21,54884.1
2021-04-30,4/30/21,53584.15
2021-05-01,5/1/21,57796.62
2021-05-02,5/2/21,57857.5
2021-05-03,5/3/21,56610.46
2021-05-04,5/4/21,57213.33
2021-05-05,5/5/21,53241.72
2021-05-06,5/6/21,57473.23
2021-05-07,5/7/21,56428.16
2021-05-08,5/8/21,57380.27
2021-05-09,5/9/21,58928.81
2021-05-10,5/10/21,58280.73
2021-05-11,5/11/21,55883.5
2021-05-12,5/12/21,56750.0
2021-05-13,5/13/21,49007.09
2021-05-14,5/14/21,49702.27
2021-05-15,5/15/21,49922.52
2021-05-16,5/16/21,46736.58
2021-05-17,5/17/21,46441.64
2021-05-18,5/18/21,43596.24
2021-05-19,5/19/21,42912.19
2021-05-20,5/20/21,36964.27
2021-05-21,5/21/21,40784.32
2021-05-22,5/22/21,37280.35
2021-05-23,5/23/21,37528.3
2021-05-24,5/24/21,34754.54
2021-05-25,5/25/21,38728.59
2021-05-26,5/26/21,38410.5
2021-05-27,5/27/21,39266.04
2021-05-28,5/28/21,38445.29
2021-05-29,5/29/21,35689.62
2021-05-30,5/30/21,34647.67
2021-05-31,5/31/21,35684.59
2021-06-01,6/1/21,37310.54
2021-06-02,6/2/21,36662.64
2021-06-03,6/3/21,37585.24
2021-06-04,6/4/21,39188.59
2021-06-05,6/5/21,36885.51
2021-06-06,6/6/21,35530.38
2021-06-07,6/7/21,35816.17
2021-06-08,6/8/21,33514.87
2021-06-09,6/9/21,33450.19
2021-06-10,6/10/21,37338.36
2021-06-11,6/11/21,36704.57
2021-06-12,6/12/21,37313.18
2021-06-13,6/13/21,35494.9
2021-06-14,6/14/21,39066.82
2021-06-15,6/15/21,40525.8
2021-06-16,6/16/21,40188.56
2021-06-17,6/17/21,38324.87
2021-06-18,6/18/21,38068.04
2021-06-19,6/19/21,35729.82
2021-06-20,6/20/21,35524.17
2021-06-21,6/21/21,35592.35
2021-06-22,6/22/21,31686.55
2021-06-23,6/23/21,32447.59
2021-06-24,6/24/21,33674.66
2021-06-25,6/25/21,34639.38
2021-06-26,6/26/21,31640.58
2021-06-27,6/27/21,32160.91
2021-06-28,6/28/21,34644.45
2021-06-29,6/29/21,34456.67
2021-06-30,6/30/21,35847.7
2021-07-01,7/1/21,35047.36
2021-07-02,7/2/21,33536.88
2021-07-03,7/3/21,33856.86
2021-07-04,7/4/21,34688.98
2021-07-05,7/5/21,35309.3
2021-07-06,7/6/21,33747.97
2021-07-07,7/7/21,34211.01
2021-07-08,7/8/21,33839.04
2021-07-09,7/9/21,32877.41
2021-07-10,7/10/21,33818.52
2021-07-11,7/11/21,33515.57
2021-07-12,7/12/21,34227.64
2021-07-13,7/13/21,33158.25
2021-07-14,7/14/21,32686.56
2021-07-15,7/15/21,32814.61
2021-07-16,7/16/21,31738.59
2021-07-17,7/17/21,31421.25
2021-07-18,7/18/21,31520.66
2021-07-19,7/19/21,31783.49
2021-07-20,7/20/21,30815.94
2021-07-21,7/21/21,29790.24
2021-07-22,7/22/21,32118.06
2021-07-23,7/23/21,32297.89
2021-07-24,7/24/21,33581.63
2021-07-25,7/25/21,34279.34
2021-07-26,7/26/21,35365.2
2021-07-27,7/27/21,37318.14
2021-07-28,7/28/21,39405.95
2021-07-29,7/29/21,40002.53
2021-07-30,7/30/21,40005.93
2021-07-31,7/31/21,42214.15
2021-08-01,8/1/21,41659.06
2021-08-02,8/2/21,40000.46
2021-08-03,8/3/21,39193.94
2021-08-04,8/4/21,38138.0
2021-08-05,8/5/21,39750.14
2021-08-06,8/6/21,40882.0
2021-08-07,8/7/21,42825.95
2021-08-08,8/8/21,44634.13
2021-08-09,8/9/21,43816.14
2021-08-10,8/10/21,46333.46
2021-08-11,8/11/21,45608.37
2021-08-12,8/12/21,45611.46
2021-08-13,8/13/21,44417.78
2021-08-14,8/14/21,47833.98
2021-08-15,8/15/21,47112.19
2021-08-16,8/16/21,47056.41
2021-08-17,8/17/21,45982.55
2021-08-18,8/18/21,44648.57
2021-08-19,8/19/21,44777.86
2021-08-20,8/20/21,46734.65
2021-08-21,8/21/21,49327.75
2021-08-22,8/22/21,48932.02
2021-08-23,8/23/21,49335.68
2021-08-24,8/24/21,49523.5
2021-08-25,8/25/21,47744.58
2021-08-26,8/26/21,48972.09
2021-08-27,8/27/21,46962.8
2021-08-28,8/28/21,49056.86
2021-08-29,8/29/21,48897.65
2021-08-30,8/30/21,48806.78
2021-08-31,8/31/21,47074.77
2021-09-01,9/1/21,47155.87
2021-09-02,9/2/21,48862.76
2021-09-03,9/3/21,49329.01
2021-09-04,9/4/21,50035.33
2021-09-05,9/5/21,49947.38
2021-09-06,9/6/21,51769.06
2021-09-07,9/7/21,52677.4
2021-09-08,9/8/21,46809.17
2021-09-09,9/9/21,46078.38
2021-09-10,9/10/21,46368.69
